A1	A1 谷河内の採石場
A2	A2 定期監査
A3	A3 一二三四
A4	A4 サイコロの１
A5	A5 失意
A6	A6 デジャヴ
B1	B1 Ｃ１０３投与実験
B2	B2 Ｈ１７０
B3	B3 兄の苦悩
B4	B4 北条兄妹
B5	B5 二番目の「検体」
B6	B6 白川公園転落事故
C1	C1 研究快調
C2	C2 女王の母の不信
C3	C3 女王への協力依頼
C4	C4 神主の憂鬱
C5	C5 三番目の「検体」
C6	C6 古手夫妻怪死事件
D1	D1 ダム計画撤回作戦
D2	D2 地元説明会
D3	D3 おやっさん
D4	D4 バラバラ殺人事件
D5	D5 最初の「検体」
D6	D6 戦勝会にて
E1	E1 休部届け
E2	E2 四年目の足音
E3	E3 部活結成
E4	E4 四番目の「検体」
E5	E5 北条叔母撲殺事件
E6	E6 広報室勤務初日
F1	F1 入江の生い立ち
F2	F2 入江京介
F3	F3 富竹ジロウ
F4	F4 北条悟史
F5	F5 山沖薫
F6	F6 南井まどか
G1	G1 分譲地下見
G2	G2 新しい風
G3	G3 昭和５８年６月
G4	G4 終末への誘い
G5	G5 新学期、そして
G6	G6 動き始めた陰謀
H1	H1 前原圭一
H2	H2 竜宮レナ
H3	H3 園崎魅音
H4	H4 北条沙都子
H5	H5 古手梨花
H6	H6 公由夏美
J1	J1 暇潰し編のカケラ
J2	J2 鬼隠し編のカケラ
J3	J3 綿流し編のカケラ
J4	J4 祟殺し編のカケラ
J5	J5 染伝し編のカケラ
J6	J6 昼壊し編のカケラ
K1	K1 罪滅し編のカケラ
K2	K2 目明し編のカケラ
K3	K3 皆殺し編のカケラ
K4	K4 影紡し編のカケラ
K5	K5 宵越し編のカケラ
K6	K6 解々し編のカケラ
L1	L1 祭囃し編のカケラ
L2	L2 カケラ屑
L3	L3 澪尽し編のカケラ
L4	L4 逆回りの歯車
L5	L5 お子様ランチの旗
L6	L6 禁宝「鬼狩柳桜」
M1	M1 赤いカプセル薬
M2	M2 事件報告1
M3	M3 事件報告2
M4	M4 失敗の報復
M5	M5 コピー薬
M6	M6 臨床試験開始
V1	V1 酔いどれ上司の正体
V2	V2 灰とともに去りぬ
V3	V3 レシートと切符
V4	V4 ぬるい缶コーヒー
V5	V5 本名はともえ
V6	V6 サイコロの６
W1	W1 しらかば山荘篭城事件
W2	W2 ローウェル疑獄事件
W3	W3 公安刑事夫妻の死
W4	W4 厚生省官僚の逮捕
W5	W5 退部届け
W6	W6 捜査打ち切り
X1	X1 事件報告3
X2	X2 事件報告4
X3	X3 事件報告5
X4	X4 フレデリカから、あなたへ
Y1	Y1 ヒントⅠ
Y2	Y2 ヒントⅡ
Y3	Y3 ヒントⅢ
Y4	Y4 ヒントⅣ
Y5	Y5 ヒントＶ
Y6	Y6 ヒントⅥ
Z1	Z1 ヒントⅦ
Z2	Z2 ヒントⅧ
Z3	Z3 ヒントⅨ
Z4	Z4 ヒントⅩ
Z5	Z5 ヒントⅩⅠ
Z6	Z6 ヒントⅩⅡ
Matsuribayashi-hen END	「祭囃し編」終了
Miotsukushi-hen@rOmote END	「澪尽し編・表」終了
Batsukoishi-hen END	「罰恋し編」終了
